Date,Open,High,Low,Close
4/4/1990,1.6,1.65,1.599,1.62
4/5/1990,1.615,1.635,1.61,1.615
4/6/1990,1.615,1.635,1.61,1.625
4/9/1990,1.612,1.64,1.612,1.637
4/10/1990,1.627,1.63,1.613,1.62
4/11/1990,1.61,1.61,1.595,1.605
4/12/1990,1.595,1.6,1.59,1.598
4/16/1990,1.597,1.6,1.592,1.598
4/17/1990,1.594,1.6,1.585,1.585
4/18/1990,1.583,1.587,1.583,1.583
4/19/1990,1.581,1.581,1.55,1.57
4/20/1990,1.56,1.56,1.54,1.543
4/23/1990,1.525,1.56,1.525,1.555
4/24/1990,1.54,1.556,1.54,1.555
4/25/1990,1.56,1.57,1.552,1.552
4/26/1990,1.555,1.564,1.555,1.558
4/27/1990,1.56,1.56,1.55,1.555
4/30/1990,1.565,1.57,1.565,1.565
5/1/1990,1.575,1.575,1.565,1.565
5/2/1990,1.575,1.58,1.575,1.575
5/3/1990,1.575,1.575,1.575,1.575
5/4/1990,1.57,1.575,1.57,1.575
5/7/1990,1.58,1.585,1.575,1.58
5/8/1990,1.585,1.589,1.582,1.583
5/9/1990,1.587,1.587,1.576,1.576
5/10/1990,1.58,1.58,1.574,1.574
5/11/1990,1.571,1.575,1.565,1.565
5/14/1990,1.559,1.559,1.555,1.556
5/15/1990,1.555,1.555,1.552,1.552
5/16/1990,1.559,1.575,1.559,1.57
5/17/1990,1.57,1.575,1.57,1.57
5/18/1990,1.565,1.565,1.54,1.554
5/21/1990,1.548,1.56,1.545,1.557
5/22/1990,1.61,1.62,1.605,1.613
5/23/1990,1.603,1.606,1.597,1.602
5/24/1990,1.602,1.602,1.595,1.6
5/25/1990,1.595,1.6,1.59,1.592
5/29/1990,1.585,1.588,1.585,1.585
5/30/1990,1.585,1.595,1.585,1.585
5/31/1990,1.586,1.604,1.585,1.59
6/1/1990,1.587,1.59,1.585,1.585
6/4/1990,1.585,1.585,1.57,1.582
6/5/1990,1.57,1.575,1.567,1.567
6/6/1990,1.562,1.564,1.556,1.56
6/7/1990,1.565,1.585,1.565,1.573
6/8/1990,1.565,1.58,1.564,1.575
6/11/1990,1.573,1.575,1.565,1.572
6/12/1990,1.57,1.574,1.553,1.558
6/13/1990,1.55,1.55,1.543,1.545
6/14/1990,1.54,1.55,1.54,1.547
6/15/1990,1.54,1.55,1.54,1.547
6/18/1990,1.535,1.544,1.535,1.54
6/19/1990,1.53,1.538,1.53,1.536
6/20/1990,1.527,1.533,1.505,1.51
6/21/1990,1.558,1.56,1.528,1.528
6/22/1990,1.515,1.524,1.512,1.522
6/25/1990,1.51,1.52,1.506,1.516
6/26/1990,1.51,1.515,1.505,1.507
6/27/1990,1.505,1.505,1.495,1.5
6/28/1990,1.496,1.52,1.496,1.515
6/29/1990,1.51,1.519,1.51,1.519
7/2/1990,1.525,1.525,1.516,1.519
7/3/1990,1.517,1.525,1.517,1.525
7/5/1990,1.518,1.518,1.511,1.514
7/6/1990,1.511,1.511,1.495,1.498
7/9/1990,1.493,1.495,1.488,1.493
7/10/1990,1.493,1.5,1.492,1.5
7/11/1990,1.508,1.508,1.495,1.5
7/12/1990,1.5,1.502,1.495,1.502
7/13/1990,1.52,1.52,1.5,1.5
7/16/1990,1.51,1.515,1.49,1.495
7/17/1990,1.482,1.485,1.455,1.462
7/18/1990,1.455,1.455,1.445,1.45
7/19/1990,1.445,1.454,1.44,1.445
7/20/1990,1.43,1.43,1.424,1.426
7/23/1990,1.465,1.47,1.455,1.46
7/24/1990,1.456,1.458,1.44,1.44
7/25/1990,1.427,1.445,1.422,1.44
7/26/1990,1.44,1.44,1.417,1.435
7/27/1990,1.427,1.439,1.427,1.439
7/30/1990,1.436,1.436,1.425,1.43
7/31/1990,1.425,1.425,1.41,1.411
8/1/1990,1.405,1.405,1.396,1.402
8/2/1990,1.45,1.46,1.43,1.432
8/3/1990,1.445,1.54,1.445,1.51
8/6/1990,1.53,1.6,1.52,1.588
8/7/1990,1.52,1.525,1.46,1.477
8/8/1990,1.48,1.51,1.45,1.475
